Profile_Name,Rating_Star,Headings,Base_Reviews,
Two3,1.0 out of 5 stars,Ok,Ok,
Andrew Bennett,2.0 out of 5 stars,Read this review,I brought it so I could mirror my cell to my head unit in the car. Had to download an app to work with it. Had to find the right patch on the app in order to interface with it. An basically only use YouTube with this device. The slot for the power cord isnâ€™t stable so the slightest bump and it loses power. Not a good product,
Rin,1.0 out of 5 stars,Deceptive and absolutely cancerous after installation.,"Not all fire tvs are the same... Some are super simple to cast to, others require third party applications.. The program doesn't tell you its just a free trial and will abruptly end the stream in the middle and tell you to subscribe to continue. It isn't even that great, it was lousy and kept buffering and lagging every few minutes.Now here's the real crap part, if you try to cast using Chromecast or anything that your tv USE TO BE ABLE TO DO without anything else... It intercepts these and tries to force you to use it for these as well!! Even if you literally can't because your not a paying customer! I tried to ignore it and manually selected the program I actually wanted to use...and then 30 minutes later it forced itself onto my tv interrupting my show by reopening itself! I had to completely uninstall the garbage because even when not running, ITS RUNNING.avoid at all costs. Overpriced, deceptive, malicious junk that tries to take over your tv!",
Daniel,4.0 out of 5 stars,Nice upgrade to not so smart TV,My curved Samsung TV does not have AirPlay. Buying a fire stick and downloading this app allowed me to export sound and video from my MacBook Air. Video quality is decent but audio lags terribly. I export video only and use Bluetooth instead for audio. Works like a charm with that arrangement. Connectivity is ok; sometimes it takes a while to identify available devices on the network. The software on my Boot Camp windows 10 partition sometimes crashes. Unfortunately this software is subscription based (yearly). This was a nice workaround to upgrade my TV connectivity capabilities. Thank you to person who posted this idea in a forum somewhere (clever).,
rockaholic1,5.0 out of 5 stars,Works really well!,"I needed to decipher some video footage from my security camera, so ai wanted to watch it on my huge Fire TV. I saw this app, and tried it - and it worked like a charm! It was super easy to use, and there was no distortion in the tv images. Recommend!",
Cynthia,4.0 out of 5 stars,One person found this helpful,Report,
MassMama,3.0 out of 5 stars,Not free- but worth it,"I wish this had unlimited usage for free costumers, even if you had to add ads Iâ€™d be in!Itâ€™s easy to use and does a great job but Iâ€™m not willing to pay the yearly fee",
Sydney D,1.0 out of 5 stars,Does not work,"Will not connect to any of our devices, don't waste your time",
consumer,1.0 out of 5 stars,Awful,Awful,
Bruce S,1.0 out of 5 stars,No idea what this is for.,No idea what this is for and if I even purchased.,
Tom price,5.0 out of 5 stars,Great to cast with,Great to cast from phone to tv,
Amazon Customer,3.0 out of 5 stars,After starting to install found out my device was too old so couldnt use at this time.,"Researched how to make an iPhone work like my Androids do via screen mirroring. This seemed like the solution until it wouldnt load because my device was too old.I dont know how durable, or how easy to use, or if it even works.",
Alberto de JesÃºs AlemÃ¡n Castillo,1.0 out of 5 stars,2 people found this helpful,Report,
Saul,5.0 out of 5 stars,2 people found this helpful,Report,
yuckypants,2.0 out of 5 stars,Looks like it's got tons of capability,"But it really sucks. Takes forever to connect and when it finally does, it works well.",
TJB,5.0 out of 5 stars,Easy,Convenient!!!!!!,
Yny,5.0 out of 5 stars,Report,good,
Howbar,1.0 out of 5 stars,It is no longer free!I,"It was free and was an excellent screen mirroring service. Now, the mirrored program you are watching stops and you are asked to switch to the premium service. You can refuse but you have to start the process all over. This happens about every five minutes. Of course, while you are starting over you are missing the program you are watching. This is extremely annoying!!!",
FÃ©lix,1.0 out of 5 stars,Not great,"Compared to other apps I used, it'd not that great, the quality is not that great, and after like an hour you have to pay for the app, it is not free.",
Mike Sullivan,3.0 out of 5 stars,Works with Oculus,Downloaded so kids could stream Oculus on tv. Sometimes have to try connecting more than once but works good once connected. Now after few months you are only allowed about 10 mins then they want to to pay for subscription,
Cynthia Leatherwood,1.0 out of 5 stars,This app sucks!!!!!!!!,App works get for casting from your phone to the television.  However. In the middle of a movie it stopped playing and required payment in order to continue casting the movie. There is nothing that says you are using a free trial with only one hour of streaming if that much time. I will be deleting this app for sire from my firestick!!,
Karl,3.0 out of 5 stars,The resolution is very low.,"The picture quality is low, the signal is slow.The connection is good.",
jamel,5.0 out of 5 stars,If you donâ€™t pay for the monthly service it will cut off and on,I used it to mirror my iPad to my tv and I love it,
GaryBensel,5.0 out of 5 stars,Works like a charm,Does what it should do,
Roxanne E,5.0 out of 5 stars,Item as stated,Item as stated,
Robert A. Gibson Jr.,1.0 out of 5 stars,Not a FREE app!,You only get a few hours of free streaming then you are expected to pay $12.99 for a year.,
Linda Snyder,2.0 out of 5 stars,phone to tv,we couldn't make it work,
Jack W.,1.0 out of 5 stars,Absolutely the worst app,"It worked alright for being the only app that makes it possible to screen cast iOS to fire devices, but the free version is trash and then you pay the monthly subscription and as soon as you do pay the app suddenly doesnâ€™t know how to work, TOTAL WASTE OF MONEY AND TIME!!!",
cpwill,5.0 out of 5 stars,Yep,Honestly Not really sure what this is and it mustâ€™ve been something my son downloaded onto my phone,
Emma,5.0 out of 5 stars,Works,Works as intended!!,
Stacy,5.0 out of 5 stars,Music ðŸŽ¶ in my Audi,"Super easy to use, plug ðŸ”Œ in, and enjoy! ðŸŽ¶",
Bean,5.0 out of 5 stars,Airstream app,Airstream app I bought this for a project I was doing that I needed to display on my TV screen. Worked great. Itâ€™s affordable,
L Will,1.0 out of 5 stars,App updated - not useful anymore,I used to really like this app. It was buggy at times but worked. Now it updated with no notice and you can only stream for 5 minutes on the free version. I was fine with the ads but this is no longer functional.,
daviid davis sr,5.0 out of 5 stars,Perfect,Great product and great service,
MH,5.0 out of 5 stars,Works great,Works great,
Writemom,3.0 out of 5 stars,Free to download does not = free,"This app is great, except that it only works free for a limited time and then it requires you to pay $12.99/year. Shame on AirScreen for not disclosing this upfront. Even though itâ€™s great, there are other apps that do the same thing for less money.",
jhonny alberto,5.0 out of 5 stars,3 people found this helpful,Report,
Amazon Customer,1.0 out of 5 stars,Limited time,You can use it only so long till it tries to make you pay and you canâ€™t use it without paying.,
Erich T,3.0 out of 5 stars,Works good,I use this for a while until they said my time ran out and had to pay for the most part it works good even though I had to reconnect a few times but I liked it until I found a better product. Would not be worth paying the money for what they want,
Dakota champlain,1.0 out of 5 stars,Trash,Iâ€™m not Paying,
David Austin,5.0 out of 5 stars,Game Changer,I like this so much! It has helped me stretch out my muscles and reduce pain. Would highly recommend and will keep using it.,
Keri,5.0 out of 5 stars,Great AppðŸ‘�ðŸ�¼,Used this app a few times ti mirror my iphone to my tv and itâ€™s been fabulous honestly. Iâ€™ve used an Samsung Galaxy/Android phone since the iPhone 4g. Fast forward mirroring my phone to my smart Sony Tv was not an easy task for me to figure out each time. Then exactly a year ago I decided to go to iPhone again I got an 11 no complaints couldnâ€™t figure out the mirroring still. I received my 13 recently (idk if that getting a 13 has anything to do with the fact I was able to mirror finally) I downloaded this app after reading reviews on my firestick and had my phone mirrored to my tv within 30 mins maybe. The app is great have had no problems and have no complaints. Thanks. Iâ€™ll keep yâ€™all updated.,
Hezekiah Willims,1.0 out of 5 stars,Not great,"Youâ€™re better of getting roku or Apple TV to screen mirror, this one in particular is laggy. Very laggy, takes too long to connect.",
Terry Pair,1.0 out of 5 stars,did not hook up to my android,ant get it to hook up with my phone,
Penfold,2.0 out of 5 stars,"Sometimes good, sometimes not","Using this with an Oculus Quest 2.  Set up was a little tricky since there's no step-by-step process; but we got it working.  It was great watching the game my son played on the TV.  Until it stopped working.  The app complains of network speed, and then the feed drops and disrupts the game.Good technology but not simple execution.",
Amazon Customer,3.0 out of 5 stars,AirPlay functions limited,"I want to use this to stream music from my iOS device through the Fire Stick into my home theater. Easy to install and works fine, but with the free version you have to keep the app open on the Fire Stick or it disconnects the audio. Plus, whenever I connect it seems to automatically dial the volume up to the highest level.I didnâ€™t spend more than five minutes fussing with the settings, so maybe this could be fixed, but there are other solutions which were more nutritive.",
Brian Symes,1.0 out of 5 stars,Did not work,"It was determined by Miracast to be defective but they would not send another, told me warranty is provided by seller. Sending back to Amazon from Colombia SA was too expensine so not worth the trouble",
Wayne Thorn,5.0 out of 5 stars,Did what it said it could do,I was able to get it up fast and it works,
Mary Starkey,5.0 out of 5 stars,Works For Fire 10 Direct WiFi Printing on Canon Printer,"Although the install and setup were a bit more trial and error than desired, this app is the only printer app I've found to work well from my Fire HD10 tablet to my Canon TS9120 printer. Even Canon's own app wouldn't work. Go figure!!",
Kerry Rhodes,5.0 out of 5 stars,Not again .,They didnâ€™t work .,
Terry demerchant,5.0 out of 5 stars,excellent product,i am ever grateful for this product,
PAUL MARIA,5.0 out of 5 stars,Happy with it,Happy with it,
Sheron D Dillard,5.0 out of 5 stars,Working,Home,
pat huseman,4.0 out of 5 stars,I didn't realize the paper goes in the bacl,"I wouldn't buy it again only bc I don't like the way the paper goes in it, (in the back)am used to the paper going in a tray.it prints good and I like the contract w/the ink but the support people are hard to get a hold of",
Janet Thompson,5.0 out of 5 stars,Works great with Amazon tablet and cell phones,I like this app  and tell all my friends about it.,
Rob,4.0 out of 5 stars,Good,Good,
Mark Dewitt,4.0 out of 5 stars,Slowish,Used to have a Canon printer.  The time to send document was about half the time as this.  It always seems to say can't find printer even though it's there then it will print.,
Alexis J McKinnie,5.0 out of 5 stars,Works well,Good product.,
Janice Kennedy,1.0 out of 5 stars,Too much,Confusing.. did do what I thought it was supposed to do,
mary,5.0 out of 5 stars,Report,Translate review to English,
Barbara Halleron,3.0 out of 5 stars,Not useful,Don't use it.  Wasted purchase,
Jeff in Missouri,1.0 out of 5 stars,Joke,Waste of time,
kimberly Jackson,2.0 out of 5 stars,Ok,It's ok,
Paul Giannella,5.0 out of 5 stars,Great Product,Great Product,
Sara,5.0 out of 5 stars,Itâ€™s good,Itâ€™s good so far,
Sandy D,2.0 out of 5 stars,Ehh,Not interested in it,
Troy Pennington,5.0 out of 5 stars,Excellent Product,The product arrived on time and was exactly as represented on Amazon,
David Fuller,3.0 out of 5 stars,Cool,Cool way to see tv,
Michelle,1.0 out of 5 stars,Null,Waste of time,
Joe D,1.0 out of 5 stars,Horrible,Really bad TV,
June Gehringer,1.0 out of 5 stars,Didnâ€™t work,Donâ€™t work,
Patricia Johnson,5.0 out of 5 stars,Viewing abilityi,Doesn't work well on my tv,
Vickie,1.0 out of 5 stars,Downloads 90%,"Downloaded 90% , need to fix this",
Junice,1.0 out of 5 stars,Would not open,"I wanted to have this channel but it stopped searching for wifi at 90%, I tried several times but couldn't get this to open.",
Lisa Langhammer,1.0 out of 5 stars,Doesn't work,Doesn't work,
John Bolton,1.0 out of 5 stars,How do you download it to a fireStick then. See no download or install option,How do you download it to a fireStick then. See no download or install option,
Angela,1.0 out of 5 stars,Did not work,Did not work,
Joanie,1.0 out of 5 stars,I have no idea what this is about.,Don't know.,
corey,1.0 out of 5 stars,Thumb down,Disliked the app does not let me search the phone device asks the on the app on mobile nothing else.,
H. Robinson,1.0 out of 5 stars,Did not work,This does not work on my tv after downloading. Waste of money.,
ROBERT AINSWORTH,1.0 out of 5 stars,Check your equipment,I never could get it to work. It might've been my equipment.,
Keith B.,1.0 out of 5 stars,No instructions or help,I couldn't get it to work... Maybe it was user error,
Private,1.0 out of 5 stars,Very Poor Streaming Quality,"Video is very low resolution, and skips numerous frames.  Decided to connect HDMI cable instead of using this app.",
Fernando  Brown,1.0 out of 5 stars,Does not work,Does not work on firestick. Do not buy.,
SAM,1.0 out of 5 stars,Don't waste your money. Does not work,Wasted my time. keep spinning never works even if you wait for a day,
Mariana Ceballos,1.0 out of 5 stars,Waste of money,Doesnâ€™t work ðŸ˜’,
vicki,1.0 out of 5 stars,Don't buy.  Waste,Doesn't work,
Mike The Kitchen Beast!,1.0 out of 5 stars,Do not buy! Does not work,Absolute Garbage on a firestick!,
A Customer,1.0 out of 5 stars,Doesn't work.,Doesn't work.,
Kristin Renfroe,5.0 out of 5 stars,Super Awesome!,I love this game! It is so cool the things you can draw on this game that wud be super hard in real life! And I love how real it looks when you color in the lines!,
TheRealGarThor,1.0 out of 5 stars,Excessive permissions.,Why does this thing require such excessive permissions settings?,
Amazon Customer,4.0 out of 5 stars,Awesome!,Nice job awesome!,
Kallie,5.0 out of 5 stars,Good to draw,Its a good game!,
Sherry Kay Miles,4.0 out of 5 stars,Fun,I need a lot of practice to get use to it,
Amazon Customer,1.0 out of 5 stars,THIS SUCKS DONT DOWNLOAD,THIS SUCKSits just a copycat of another two apps and I was looking for ibs paintx but no I found this and delete it as soon as you download  it.,
Samantha B,1.0 out of 5 stars,"Don't download, it's torture","The app kept flinching me out, and no layers!? And don't forget the Zoom in, No rotation, and it pauses the hole screen! And if you are doing a line during moving the screen, it will undo it! I hate this, and only five Undo, there should be as much as the drawing!.ðŸ˜­ðŸ˜¡",
Samantha,1.0 out of 5 stars,No,"just no, ok",
Dawn Harnack,5.0 out of 5 stars,LOVEEEE ITTT,"I like to listen to music when im drawing and i like the song called ""Sweet Caroline"" the glee cast version and i just love the app its a 10000000/10 for me i really recommend downloading the game!",
PRK,1.0 out of 5 stars,THIS. SUCKED.,I hate this app there are soo many ads do not get this!!!!,
Abigail Thomasson,5.0 out of 5 stars,Awesome,Great but I'm not good at drawing,
Tara,1.0 out of 5 stars,it's bad,Its bad bc its really hard and trashy I like media bang paint better1/10,
antonio,1.0 out of 5 stars,Bad ðŸ‘Ž,Sooo bad. Wanna know why? because you can't even see where you are putting stuff.second of all....It's glitchy and the house is like all white...last thing why.....you can't even see where your putting the door!!! ALERT THIS IS A WARNING!!!!!!bad do not recommend. DO NOT DOWNLOAD!!!!!ðŸ˜¤ðŸ˜¤ðŸ˜¤ðŸ˜¤ðŸ˜¤ðŸ˜¤ðŸ˜¤ðŸ˜¤,
GardeningisFun,5.0 out of 5 stars,Game you wanna play for the rest of your life,How I can design and Turn it into my own world,
M. Carpenter,2.0 out of 5 stars,Change my mind and removed it,I didn't spend much time on this game I changed my mind and removed it.,
Kate,2.0 out of 5 stars,It's ok,It's ok but I don't want to have to bye stuff just to make a good looking house.,
Ana,1.0 out of 5 stars,Didnâ€™t work for me,Tried to aircast from my iPhone and didnâ€™t work,
iDjAustin,2.0 out of 5 stars,Wouldnâ€™t work for my purpose,Tried to AirPlay/Cast The spectrum TV app to my Amazon firestick 4k. Iâ€™ve installed all updates and it will not show the spectrum content.,
STATONTW,1.0 out of 5 stars,BS app,App is junk I only wanted to do was get you to spend money upgrading to a different version that wasn't free,
Alexander,1.0 out of 5 stars,Quite disappointing,"You are going to still get loads of adds, and the worse is its going to freeze up and have lots of issues playing want you want to stream.",
Nunla,5.0 out of 5 stars,Great,Story's great content even better and details spot on,
Nathan Carey Tibbs,5.0 out of 5 stars,Works,It works does the job like it's suppose to do,
Kindle Customer,1.0 out of 5 stars,good,it's okay…..,
ShahFam,5.0 out of 5 stars,Nice,Great,
Raki,5.0 out of 5 stars,A memory to remember,It is sad when I heared that skype is no more.,
Phil,4.0 out of 5 stars,Great while laid up,This was great for talking to my grand daughter while in the hospital.,
Hesn Hilnesn,5.0 out of 5 stars,Excellent!,Excellent!,
NPD24,5.0 out of 5 stars,Great App and easy to use,Easy to use,
Janelle0042,1.0 out of 5 stars,No,Nope,
Patty,1.0 out of 5 stars,Dont use.,Dont use it.,
Ralph Perrino,1.0 out of 5 stars,fit,i do not use skype.,
Filbert Grim III,5.0 out of 5 stars,Love this app,This app makes it so easy to chat with other people that do not have an apple phone. So if your friends have an android and you have an apple you can still facetime with them. The sound and picture is wonderful and I use it every night to chat with my friends. The best thing is that you can have more than one call on at the same time. It is so easy to use. Love it and makes things so much easier.,
Amazon Customer,1.0 out of 5 stars,Kind of,It kept asking for my to sign in like 15 times,
PouriaF,5.0 out of 5 stars,"For my kindle, love it","For my kindle, love it",
JOSSE,1.0 out of 5 stars,cost,I thought it was supposed to be free. Cancelled.,
Amazon Customer,2.0 out of 5 stars,Never enough,There's never enough stars,
Amazon Customer,2.0 out of 5 stars,Uuhhgg,So I got this game thinking it would be good but no there are no good girls like almost every story looks like there gonna be naughty if you are under18 don't get this game Please !!! Also my story much better Game much better story's its great anyway don't get this game a d if your a parent don't let your kids get it ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Žalso on my story it shows what the people are doing this game it shows there head ðŸ™„ðŸ˜´ðŸ˜´ðŸ˜´so that ends my review please listen to me â�¤â�¤â�¤ðŸ’ŽðŸ’Ž,
English Garden,1.0 out of 5 stars,Expensive to read!,"Don't waste your time & money! Every time you pick what's next to say, it costs you money, you know $$! The storylines are not good either. The only reason I gave it one star was because I had to rate it in order to write a review.",
Tara,1.0 out of 5 stars,Pointless unless you spend $$,"You can only read one chapter before using a ticket to read the next one. There doesn't seem to be anyway to earn more tickets, you have to pay for them. There aren't many ways in earning diamonds, which you need to make the stories better.",
E. E. Mingerink,3.0 out of 5 stars,It's just a game. I don't play games.,My wife plays this game. I don't know anything about it.,
OVERTHINKER,1.0 out of 5 stars,"Accidently downloaded, garbage","Garbage, DO NOT Recomend",
Mqmystic2001,4.0 out of 5 stars,Trashy Movie Channel,I like all the B movies,
Fred U.,1.0 out of 5 stars,Should be garbage movie channel,"Nothing but crap, not trashy...garbage!",
C. S. Mako,2.0 out of 5 stars,Not much selection. Maybe it will improve.,Looking for grindhouse odd drive in stuff. I was disappointed with the selection.,
P. Miller,1.0 out of 5 stars,Junk,Donâ€™t waste your money.,
gerit,2.0 out of 5 stars,Their trashy I could watch for 6 mins then I turned it off,Name says it all these movies are trash not worth watching even if drunk.  Well maybe high you might enjoy em donâ€™t know about that but they are some trashy flicks.,
Jman2020,1.0 out of 5 stars,Channel sucks,Only has like 5 movies you can watch for free. Very poor quality. Hard to watch,
Alskor_87,1.0 out of 5 stars,Canceled,I unsubscribe,
Kip L,2.0 out of 5 stars,Nothing special,I found nothing that impressed me enough to keep it installed.,
RDodwell,1.0 out of 5 stars,I didnâ€™t ask for this app.,Donâ€™t use it.,
Jimbo,1.0 out of 5 stars,One person found this helpful,Report,
Buyer,5.0 out of 5 stars,Free,Itâ€™s Free. How can you complain???,
Pamela F.,1.0 out of 5 stars,deleted,didn't like and deleted,
Mrs Jones,1.0 out of 5 stars,Good.,Exactly what it said it was.,
Amazon Customer,1.0 out of 5 stars,Did NOT orfder!!,Didn't order,
S,5.0 out of 5 stars,Weird,Weird app,
Mr.Pete,1.0 out of 5 stars,I'm glad it was free,I'm glad it was free because it's not worth more than that.,
jen,1.0 out of 5 stars,Crashes thatâ€™s about all itâ€™s good for,"Kept crashing, couldnâ€™t even look at what was offered without it crashing. Right after I installed this app  other apps started to crash as well so deleted it, they donâ€™t crash anymore..",
joshua lenhart,1.0 out of 5 stars,they charge you,they charge you on this channel if you buy it lots of ads and pop ups,
James david,3.0 out of 5 stars,Cancel  please,I want to cancel this but don't know how,
Jo Ann Koch,5.0 out of 5 stars,I love sports,I love fox,
Edwin Bisono,5.0 out of 5 stars,Nice,Nice,
Michelle K,2.0 out of 5 stars,Laggy,A lot of lagging and buffering. Then it would go back a few seconds instead of resuming at the current time on a live game,
Donnie E.,1.0 out of 5 stars,Nascar truck race  2/17/23,"Well your channel freezes the last 26 laps of the race and it never unfreezes, so evidently your techs suck and can't fix the problem and I guess you're going to blame it on rain. FS1 is weak and pathetic.",
Martha,1.0 out of 5 stars,Not interested,Goes offline repeatedlyâ€¦ want it removed,
Amazon Customer,1.0 out of 5 stars,Spanish?,Itâ€™s in Spanish. WTF?,
Beverly,1.0 out of 5 stars,No English,This app is not in English. It has closed captioning that is in Spanish. Have not been able to change either setting.,
Eyes2C,1.0 out of 5 stars,not good,Not Good,
Vera,1.0 out of 5 stars,Donâ€™t like content,Horrible choice of sports,
Linda Kinyon,1.0 out of 5 stars,Cancel app,Did not get games only highlights,
Peggy McAndrew,5.0 out of 5 stars,Mark,Very hard to figure out,
Amazon Customer,5.0 out of 5 stars,Awsome,Awsome,
nil2thebrain,1.0 out of 5 stars,Gone,Deleted,
John W,1.0 out of 5 stars,Disappointed with Fox Sports,I wanted to stream live sports but don't have a tv provider.  Can only watch reruns.,
Florence J.,4.0 out of 5 stars,Stopped opening,"It works fine for a free app, commonly. Drops calls and sometimes cannot make a call. Suddenly it won't open. I just used it two days ago. How can I update? Using a Kindle Fire.",
Ashley witten,5.0 out of 5 stars,Ohen22,Thank you guys so much for making this app  i,
Kindle Customer,1.0 out of 5 stars,AVOID THIS APP,"Does not work. Anytime I try to make an email or any other account with the number they gave me, it says ""this number cannot be verified"". There's also pop up ads on my tablet now that seem like a virus.",
Mike Douglas,3.0 out of 5 stars,ehh,It's pretty good besides all the adds and it runs slow.,
me;lissa,1.0 out of 5 stars,Never lets me read messages,Sometimes the app won't let me see messages until 24 hours go by and sometime never let me see the messages from certain people,
Josh Carpenter,4.0 out of 5 stars,I love it but I would chance the ads,I love it but I would change The ads,
Cliff,2.0 out of 5 stars,Got hacked bad app,This app is not a good one to download I got it and it got hacked. My sister got a text get it wasn't me. And after that the app stopped working.,
Jen,3.0 out of 5 stars,Non-stop adds and Pay2Win.,"This app is nice ill admit, but I am getting non-stop spam calls. And the thing is, I have to PAY to secure my number. And Every single time I open a conversation there's so many adds I can barely see my texts.",
Amazon Customer,2.0 out of 5 stars,"Help, I can't add contacts","It won't let me add contacts, can someone help?",
Triana,2.0 out of 5 stars,It's barely works,Too much ads Plus more,
It is I iiiii,3.0 out of 5 stars,Decent SMS app.,"Can use this app surprisingly like if I had a regular carrier. However, ads can get annoying and if you plan to use this extensively be aware of the ads that you may have to watch to earn ""credits"" in order to make calls and messages.",
Amazon Customer,1.0 out of 5 stars,Bad,It won't let me call my mom,
Rita Knight,4.0 out of 5 stars,Great App!,I love textme! It is so cool!The only thing I would changeis that when I am in the middle of atext it would just switch to an add!It is annoying but I learned how to dealwith it! I really recommend this app!,
X,1.0 out of 5 stars,No incoming meaagaes,Can send messages to other people but could not get incoming messages useless,
Diane FlockAmazon Customer,1.0 out of 5 stars,I hate it,"There are way too many glitches. Please someone get this app fixed. It always logs me out when I never logged out, there are way too many ads, when i try to text my friends it doesnt even send even with full bar wifi, The only thing good about this app is I get to talk to my friends and thats barely because we have to constantly make new accounts.",
Tiffany Adams,1.0 out of 5 stars,Frustrated,"Very glitchy, signs me out all the time for no reason. Mid message and app just stops typing. Keyboard just disappears...if Amazon had another free text/calling app I would definitely use it instead of this one",
Amazon Customer,2.0 out of 5 stars,"It used to be good, now it's trash","When I had it a month ago it worked just fine, then I had to delete it and install it again. This time when I installed it, it said ""click her to get a FREE number"" and when I clicked it and choose my number , it told me I either had to get a plan or a subscription that cost money! It isn't free! The only reason I have it a 2 star review is because it use to workðŸ’”ðŸ’”",
SoLidWire,1.0 out of 5 stars,COMPLETELY USEABLE ON FIRE 10 11th Gen.,Keyboard vanishes every couple seconds which is replaced by ad's making it an absurd process to send even the simplest text. For this experience I would pay ANYONE ELSE for text service besides this dev.,
Amazon Customer,1.0 out of 5 stars,Bad app that was a good app.,Awesome app until last update now almost unusable with all the ads. Literally breaks into an ad while you're trying to text.,
EdMartin,5.0 out of 5 stars,OMG!!,I can finally call my Mom without passcode!!,
thatgirl,1.0 out of 5 stars,Not impressed,"Deleted, didnâ€™t like.",
kiriakis smith,5.0 out of 5 stars,Good,It works very good,
Wisen Heimer,1.0 out of 5 stars,did not work,did not work,
Elmer Cornelio,2.0 out of 5 stars,Free version has crazy ads,"Free version is start up ad, then do something ad, make call view ad, call ends another ad. Closing app ad. Luckily I didn't need it, I was trying to show my dad something about technology and how with an app like this you can use anything just about hooked up to internet to make call. He was blown away. Unfortunately do to ads I deleted this app. I get you got to make money but relax.",
Samantha,4.0 out of 5 stars,Could be better,I personally think its awesome!ðŸ‘�But... When I first found the I'd thought it would be more interesting.,
Janetta Mills,1.0 out of 5 stars,Its free to use,Uses too much memory on the fire tablet..removed,
Jessica Bautista,5.0 out of 5 stars,As described,As described,
Mary Cangany,3.0 out of 5 stars,mixed feelings,this app was really helpful so i could call and text people but i deleted the app on accident and it said it was still installed though it wasnt and now i cant open or redownload,
T,1.0 out of 5 stars,Awful,Worst text app. Donâ€™t bother.,
PhilG,1.0 out of 5 stars,Not even worth the low proce,The inability to use my own cellphone number made this useless. The description should have been clearer.,
Jessi,2.0 out of 5 stars,Ok,Not great for live nfl games,
Andrea,1.0 out of 5 stars,Thursday Night Football,I love watching Thursday Night Football but since prime video took over I have been able to watch a total of two games without it freezing up every 5 minutes. Not happy with it at all.,
kiara johnson,5.0 out of 5 stars,Sports,Perfect,
Tim Perkins,4.0 out of 5 stars,Foz sports app,No opinion.  Well I take that back. Happy it doesn't have anything to do with fox news.,
Don Patricio,1.0 out of 5 stars,Fire stick is the worst,I donâ€™t remember ordering this. Will recommend Firestick ever! I want my money back. Where can I return this dust collecting item? Just makes me upset to think about a multi billion company like Amazon canâ€™t even make an item to be reliable but preferred cheaper route. I will recommend Apple TV & Google Chrome. Roku is workable. Roku needs simply rather putting some unnecessary displays & picture makes it too busy to work. Fire Stick is crap!,
NubianðŸ�«,1.0 out of 5 stars,Can't watch the games,it's just highlighted clips and sportsmanship of the games why have if you can't watch the actually game,
Miss Kitty,1.0 out of 5 stars,Can't stream,Doesn't load,
donperkins,1.0 out of 5 stars,Deleted App,Downloaded in error,
JAMES R. RYCHLY,5.0 out of 5 stars,great,ok,
dm,1.0 out of 5 stars,Constantly fails to stream,Donâ€™t have this issue with any other apps. If youâ€™d like to watch the NLCS youâ€™ll have to get cable or something unless you want it to constantly fail to stream,
Amazon Customer,5.0 out of 5 stars,Thatâ€™s my sons .,My son loves it.,
Frosine M.,4.0 out of 5 stars,Unknown,Purchased by family member.,
Katy,1.0 out of 5 stars,Didn't not work for what I want,Would like to cancel,
Pam morgan,5.0 out of 5 stars,You get all the ball games.,It's worth watching if you like sports.,
CRAIG ANDERSON,1.0 out of 5 stars,Too easy to get charged fee!,"I checked this out. For a weekend.. was under the impression a 7day trial. My credit card was hit immediately and they took me for $40.. Had to go through a hassle to get my money returned. ""DONT""",
Kathryn R. Clontz,5.0 out of 5 stars,How My Braves are doing!,Got to watch fireworks ðŸŽ‡ when my team won!,
Maximus Matus,5.0 out of 5 stars,I like watching boxing.,I like watching boxing.,
JK BL M,5.0 out of 5 stars,Perfect app,Must have for accurate reporting,
Sharkey,3.0 out of 5 stars,Works good,Works when i need it,
Joe K...,5.0 out of 5 stars,No NFL!!,I couldn't get any NFL games without already having a cable provider. So this is a completely useless app.,
Larry22,5.0 out of 5 stars,Great sports provider.  Enjoy MLB TV the most.,Favorite team feature is fantastic.  The one part that is a bit annoying is when playoffs arrive there are some blackouts and you have to jump through additional hoops to jump threw to watch your favorite team.  It appears to be because they have sold the broadcast to other providers.,
Shauna Mason,5.0 out of 5 stars,Use only to watch football games,Use only to watch football games,
Tosha Rainey,5.0 out of 5 stars,Great picture quality,Great picture quality,
Shelly Graham,3.0 out of 5 stars,Issue with validation,"We've continued to experience random requests to ""validate"" which takes you down a rabbit hole of frustration!  Regardless of how many times we've completed the process we'll randomly receive  a request to validate. Usually when we're trying to watch a specific show.",
Carl,3.0 out of 5 stars,becomming a cult,"not neutral. too far right. i am conservative leaning, but they have become a cult.",
Cheryl Sawyer,1.0 out of 5 stars,Never wanted it.,Got stuck with it when ordered firestick but didnt not intentionally order,
Muzammil,2.0 out of 5 stars,Not so good,Its okay but not good as others,
Ana Gonzalez,5.0 out of 5 stars,Love sports,Love sports,
Nathan West,3.0 out of 5 stars,Sucks,Don't like,
Mircea Codreanu,5.0 out of 5 stars,Good,Good,
Kiki,3.0 out of 5 stars,FOX SPORTS,Enjoy this channel,
Jose Rafael Toro Giuliani,5.0 out of 5 stars,Excellent,Excellent,
George,1.0 out of 5 stars,TRASH,DON'T BUY.,
Donna Meche,1.0 out of 5 stars,Too expensive,Way too expensive,
mark h.,1.0 out of 5 stars,Do not watch,Do not watch,
Ann B.,5.0 out of 5 stars,NICE,The streaming quality is excellent!  They have a variety of different sports and the picture quality is very good.  The app is easy to use and would recommend it.,
dave,4.0 out of 5 stars,ok,ok,
